"","datetime","country","shape"
"17123",2020-01-16,"us","changing"
"21904",2020-01-22,"us","changing"
"64302",2020-07-17,"us","changing"
"44965",2020-04-05,"us","changing"
"8409",2020-01-10,"us","changing"
"59706",2020-06-04,"us","changing"
"29875",2019-02-16,"us","changing"
"60082",2020-06-06,"us","changing"
"8613",2020-11-10,"us","changing"
"79037",2020-08-03,"us","changing"
"11512",2020-11-18,"us","changing"
"71478",2020-08-10,"us","changing"
"82402",2020-09-13,"us","changing"
"44496",2020-04-03,"us","changing"
"48263",2020-05-20,NA,"changing"
"33090",2020-02-07,"us","changing"
"22542",2020-12-24,"us","changing"
"22543",2020-12-24,"us","changing"
"53347",2020-06-01,"us","changing"
"50923",2020-05-05,"ca","changing"
"79736",2020-08-06,"ca","changing"
"81608",2020-09-01,NA,"changing"
"19430",2020-12-01,"us","changing"
"86216",2019-09-26,"us","changing"
"17929",2020-01-18,"us","changing"
"88574",2019-09-08,"us","changing"
"88828",2019-09-09,NA,"changing"
"61204",2020-07-11,"us","changing"
"88998",2020-09-09,"us","changing"
"40977",2019-04-15,"au","changing"
"47234",2020-05-15,"au","changing"
"6486",2020-10-31,"us","changing"
"39669",2020-04-10,"us","changing"
"73042",2020-08-13,"us","changing"
"28286",2020-01-09,NA,"changing"
"16211",2020-01-14,"us","changing"
"6177",2020-10-30,"us","changing"
"13719",2020-11-22,"us","changing"
"59261",2020-06-30,"us","changing"
"23063",2020-12-26,"us","changing"
"69681",2020-07-04,"us","changing"
"87520",2020-09-03,"us","changing"
"83633",2020-09-17,"us","changing"
"42562",2020-04-21,"us","changing"
"41208",2020-04-15,"us","changing"
"41209",2020-04-15,"us","changing"
"9727",2020-11-12,"us","changing"
"8567",2020-11-10,"us","changing"
"17951",2020-01-18,"us","changing"
"80779",2019-09-10,"us","changing"
"44938",2020-04-05,NA,"changing"
"7239",2020-10-05,"us","changing"
"64907",2019-07-20,"us","changing"
"88760",2020-09-08,"us","changing"
"58235",2020-06-28,NA,"changing"
"45441",2020-04-08,"us","changing"
"8506",2020-11-10,"us","changing"
"10594",2020-11-15,"us","changing"
"13228",2020-01-12,"us","changing"
"62221",2020-07-12,"us","changing"
"83472",2020-09-16,"us","changing"
"8597",2020-11-10,"us","changing"
"16378",2019-11-05,NA,"changing"
"5372",2020-10-27,"us","changing"
"14249",2020-11-24,"us","changing"
